Sicil;Ad;Bölüm;Hat;Görev;Amir;İşe giriş
1668;Kemal Ünal;Kaynak;Hat 2;Operatör;9002;2026-03-28
1669;Hüseyin Toprak;Kaynak;Hat 3;Takım Lideri;9003;2023-01-21
1670;Emre Öztürk;Montaj;Hat 1;Takım Lideri;9004;2020-05-27
1671;Uğur Güler;Montaj;Hat 2;Forklift;9005;2020-05-22
1672;Esra Karataş;Montaj;Hat 3;Forklift;9006;2018-02-01
1673;Hüseyin Tekin;Montaj;Hat 4;Takım Lideri;9007;2017-06-25
1674;Elif Öztürk;Boya;Hat 1;Boyacı;9008;2018-11-14
1675;Okan Duman;Boya;Hat 2;Kabin Operatörü;9009;2025-05-13
1676;Esra Başaran;Presleme;Hat 1;Kalıpçı;9010;2018-11-10
1677;Selim Yavuz;Presleme;Hat 2;Operatör;9011;2022-08-15
1678;Recep Başaran;Kalite;Hat 1;Denetçi;9012;2017-08-22
1679;Nesrin Bulut;Kalite;Hat 2;Kalite Kontrol;9013;2021-06-30
1680;Ömer Çetin;Bakım;Hat 1;Mekanikçi;9014;2019-12-22
1681;Pınar Genç;Bakım;Hat 2;Mekanikçi;9015;2022-09-30
1682;Cem Özdemir;Lojistik;Hat 1;Forklift;9016;2016-04-21
1683;Ali Polat;Lojistik;Hat 2;Operatör;9017;2018-12-06
1684;Emre Bal;Depo;Hat 1;Forklift;9018;2020-10-22
1685;Havva Başaran;Kaynak;Hat 1;Operatör;9001;2017-11-20
1686;Murat Yavuz;Kaynak;Hat 2;Kaynakçı;9002;2021-10-12
1687;Mehmet Korkmaz;Kaynak;Hat 3;Robot Operatörü;9003;2020-10-22
1688;Yusuf Kurt;Montaj;Hat 1;Takım Lideri;9004;2021-12-21
1689;Esra Bal;Montaj;Hat 2;Forklift;9005;2024-04-14
1690;Dilek Duman;Montaj;Hat 3;Takım Lideri;9006;2017-04-29
1691;Sultan Polat;Montaj;Hat 4;Operatör;9007;2025-11-29
1692;Melis Şimşek;Boya;Hat 1;Operatör;9008;2018-11-10
1693;Erhan Avcı;Boya;Hat 2;Operatör;9009;2016-10-01
1694;Songül Coşkun;Presleme;Hat 1;Kalıpçı;9010;2023-01-07
1695;Rabia Koç;Presleme;Hat 2;Kalıpçı;9011;2026-02-21
1696;Ergün Şahin;Kalite;Hat 1;Denetçi;9012;2018-09-09
1697;Derya Öztürk;Kalite;Hat 2;Kalite Kontrol;9013;2024-11-04
1698;Emine Aktaş;Bakım;Hat 1;Elektrikçi;9014;2017-07-06
1699;Dilek Ateş;Bakım;Hat 2;Mekanikçi;9015;2021-10-25
1700;Zeynep Güler;Lojistik;Hat 1;Forklift;9016;2019-03-28
1701;Ayşe Kurt;Lojistik;Hat 2;Forklift;9017;2019-06-09
1702;Volkan Acar;Depo;Hat 1;Sayım Görevlisi;9018;2022-11-01
1703;Levent Karaca;Kaynak;Hat 1;Robot Operatörü;9001;2020-05-25
1704;Fatma Erdoğan;Kaynak;Hat 2;Takım Lideri;9002;2019-06-09
1705;Aygül Aktaş;Kaynak;Hat 3;Robot Operatörü;9003;2024-06-14
1706;Hülya Doğan;Montaj;Hat 1;Montajcı;9004;2018-11-14
1707;Hüseyin Kara;Montaj;Hat 2;Montajcı;9005;2026-03-09
1708;Meryem Duman;Montaj;Hat 3;Montajcı;9006;2023-11-04
1709;Dilek Tosun;Montaj;Hat 4;Operatör;9007;2017-07-25
1710;Emine Erdem;Boya;Hat 1;Operatör;9008;2025-02-18
1711;Pınar Ünal;Boya;Hat 2;Kabin Operatörü;9009;2020-01-21
1712;Melis Toprak;Presleme;Hat 1;Kalıpçı;9010;2016-05-29
1713;Murat Kılıç;Presleme;Hat 2;Pres Operatörü;9011;2025-11-27
1714;Şule Sarı;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2016-03-09
1715;Aslı Erdem;Kalite;Hat 2;Denetçi;9013;2025-05-31
1716;Emre Kurt;Bakım;Hat 1;Bakımcı;9014;2022-07-16
1717;Pınar Gündoğdu;Bakım;Hat 2;Mekanikçi;9015;2025-05-11
1718;Ramazan Demir;Lojistik;Hat 1;Sevkiyat;9016;2017-11-21
1719;Melike Ekinci;Lojistik;Hat 2;Operatör;9017;2020-05-29
1720;Sultan Aydın;Depo;Hat 1;Sayım Görevlisi;9018;2023-05-03
1721;Derya Erdem;Kaynak;Hat 1;Kaynakçı;9001;2020-10-31
1722;Nihal Ateş;Kaynak;Hat 2;Takım Lideri;9002;2020-07-29
1723;Sevgi Kaya;Kaynak;Hat 3;Takım Lideri;9003;2021-01-29
1724;Meryem Ünal;Montaj;Hat 1;Montajcı;9004;2017-12-31
1725;Sevgi Ünal;Montaj;Hat 2;Forklift;9005;2024-08-02
1726;Ebru Aktaş;Montaj;Hat 3;Operatör;9006;2019-10-08
1727;Nihal Tosun;Montaj;Hat 4;Takım Lideri;9007;2020-11-01
1728;Nihal Yavuz;Boya;Hat 1;Operatör;9008;2016-07-13
1729;Taner Yavuz;Boya;Hat 2;Operatör;9009;2015-10-16
1730;Betül Duman;Presleme;Hat 1;Kalıpçı;9010;2025-07-20
1731;Ergün Kara;Presleme;Hat 2;Pres Operatörü;9011;2021-08-24
1732;Selim Uçar;Kalite;Hat 1;Denetçi;9012;2016-01-06
1733;Ramazan Şimşek;Kalite;Hat 2;Kalite Kontrol;9013;2026-05-27
1734;Hatice Korkmaz;Bakım;Hat 1;Mekanikçi;9014;2020-11-22
1735;Ali Karaca;Bakım;Hat 2;Elektrikçi;9015;2019-08-13
1736;Kemal Demir;Lojistik;Hat 1;Sevkiyat;9016;2016-03-26
1737;Sevgi Taş;Lojistik;Hat 2;Sevkiyat;9017;2023-04-21
1738;Bülent Kurt;Depo;Hat 1;Depocu;9018;2025-01-28
1739;Elif Şimşek;Kaynak;Hat 1;Kaynakçı;9001;2017-08-08
1740;Sinan Özdemir;Kaynak;Hat 2;Kaynakçı;9002;2017-06-30
1741;Ceren Karataş;Kaynak;Hat 3;Takım Lideri;9003;2018-02-02
1742;Ayşe Yavuz;Montaj;Hat 1;Montajcı;9004;2023-11-05
1743;Betül Şener;Montaj;Hat 2;Takım Lideri;9005;2018-12-06
1744;Ali Aydın;Montaj;Hat 3;Montajcı;9006;2015-11-13
1745;Gamze Başaran;Montaj;Hat 4;Takım Lideri;9007;2020-04-17
1746;Pınar Tekin;Boya;Hat 1;Operatör;9008;2021-12-12
1747;Nazlı Şimşek;Boya;Hat 2;Boyacı;9009;2016-09-29
1748;Osman Ünal;Presleme;Hat 1;Pres Operatörü;9010;2026-03-15
1749;Yusuf Bozkurt;Presleme;Hat 2;Kalıpçı;9011;2022-07-07
1750;Ebru Karataş;Kalite;Hat 1;Denetçi;9012;2017-12-25
1751;Ferhat Tekin;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2019-12-23
1752;Esra Erdem;Bakım;Hat 1;Elektrikçi;9014;2015-10-14
1753;Nihal Özkan;Bakım;Hat 2;Mekanikçi;9015;2019-01-01
1754;Aslı Balcı;Lojistik;Hat 1;Operatör;9016;2025-11-15
1755;Yasemin Karataş;Lojistik;Hat 2;Forklift;9017;2024-08-08
1756;Nurten Yalçın;Depo;Hat 1;Depocu;9018;2025-12-22
1757;Sibel Acar;Kaynak;Hat 1;Operatör;9001;2018-01-17
1758;Derya Yıldız;Kaynak;Hat 2;Takım Lideri;9002;2019-04-18
1759;Rabia Başaran;Kaynak;Hat 3;Kaynakçı;9003;2017-07-24
1760;Ayşe Işık;Montaj;Hat 1;Montajcı;9004;2019-05-21
1761;Görkem Aksoy;Montaj;Hat 2;Montajcı;9005;2020-11-25
1762;Kübra Uysal;Montaj;Hat 3;Montajcı;9006;2026-06-10
1763;Ramazan Duman;Montaj;Hat 4;Forklift;9007;2015-02-07
1764;Sinan Çetin;Boya;Hat 1;Operatör;9008;2016-06-15
1765;Yusuf Şahin;Boya;Hat 2;Boyacı;9009;2016-11-19
1766;Sevgi Coşkun;Presleme;Hat 1;Operatör;9010;2022-01-06
1767;Selim Güneş;Presleme;Hat 2;Operatör;9011;2020-01-01
1768;Ramazan Özdemir;Kalite;Hat 1;Denetçi;9012;2024-02-22
1769;Nurten Aksoy;Kalite;Hat 2;Kalite Kontrol;9013;2023-05-04
1770;Tolga Genç;Bakım;Hat 1;Elektrikçi;9014;2017-06-15
1771;Sultan Kaya;Bakım;Hat 2;Bakımcı;9015;2024-02-20
1772;Nesrin Ateş;Lojistik;Hat 1;Forklift;9016;2021-11-11
1773;Songül Aslan;Lojistik;Hat 2;Forklift;9017;2024-01-27
1774;Okan Kurt;Depo;Hat 1;Forklift;9018;2019-03-04
1775;Salih Arslan;Kaynak;Hat 1;Robot Operatörü;9001;2019-09-29
1776;Ömer Acar;Kaynak;Hat 2;Kaynakçı;9002;2026-06-15
1777;Emine Karaca;Kaynak;Hat 3;Takım Lideri;9003;2021-07-29
1778;Aygül Kaya;Montaj;Hat 1;Montajcı;9004;2020-09-05
1779;Erhan Sarı;Montaj;Hat 2;Operatör;9005;2024-08-22
1780;Erhan Bozkurt;Montaj;Hat 3;Montajcı;9006;2015-07-13
1781;Nurten Sarı;Montaj;Hat 4;Montajcı;9007;2020-02-12
1782;Sibel Polat;Boya;Hat 1;Operatör;9008;2023-10-12
1783;Ömer Balcı;Boya;Hat 2;Operatör;9009;2021-12-10
1784;Selim Sarı;Presleme;Hat 1;Operatör;9010;2026-06-21
1785;Ayşe Yıldırım;Presleme;Hat 2;Operatör;9011;2026-05-03
1786;Gökhan Koç;Kalite;Hat 1;Denetçi;9012;2015-07-29
1787;Salih Toprak;Kalite;Hat 2;Kalite Kontrol;9013;2016-08-23
1788;Ömer Sezer;Bakım;Hat 1;Mekanikçi;9014;2019-02-21
1789;Yusuf Kara;Bakım;Hat 2;Elektrikçi;9015;2017-06-20
1790;Havva Uçar;Lojistik;Hat 1;Operatör;9016;2016-11-19
1791;Okan Güler;Lojistik;Hat 2;Operatör;9017;2020-10-12
1792;Selim Koç;Depo;Hat 1;Sayım Görevlisi;9018;2018-12-23
1793;Fatma Bozkurt;Kaynak;Hat 1;Takım Lideri;9001;2021-08-16
1794;Yasemin Polat;Kaynak;Hat 2;Takım Lideri;9002;2025-12-13
1795;Serkan Erdoğan;Kaynak;Hat 3;Robot Operatörü;9003;2020-06-22
1796;Özlem Başaran;Montaj;Hat 1;Takım Lideri;9004;2017-03-19
1797;Nazlı Şener;Montaj;Hat 2;Takım Lideri;9005;2017-10-25
1798;Serkan Avcı;Montaj;Hat 3;Operatör;9006;2022-04-14
1799;Erhan Başaran;Montaj;Hat 4;Forklift;9007;2015-08-08
1800;Merve Bal;Boya;Hat 1;Operatör;9008;2021-12-08
1801;Onur Aslan;Boya;Hat 2;Operatör;9009;2020-04-07
1802;Yavuz Özdemir;Presleme;Hat 1;Pres Operatörü;9010;2022-09-05
1803;Songül Bal;Presleme;Hat 2;Operatör;9011;2023-11-07
1804;Dilek Balcı;Kalite;Hat 1;Denetçi;9012;2015-08-10
1805;Zeynep Aydın;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2020-07-27
1806;Yavuz Yılmaz;Bakım;Hat 1;Elektrikçi;9014;2023-04-23
1807;Ferhat Güler;Bakım;Hat 2;Elektrikçi;9015;2015-02-27
1808;Yavuz Korkmaz;Lojistik;Hat 1;Sevkiyat;9016;2026-05-20
1809;Serkan Güler;Lojistik;Hat 2;Sevkiyat;9017;2015-06-25
1810;Bülent Karataş;Depo;Hat 1;Sayım Görevlisi;9018;2024-12-26
1811;Hasan Işık;Kaynak;Hat 1;Operatör;9001;2026-05-29
1812;Turgay Kaya;Kaynak;Hat 2;Takım Lideri;9002;2022-02-24
1813;Kübra Çetin;Kaynak;Hat 3;Robot Operatörü;9003;2017-04-22
1814;Sibel Şener;Montaj;Hat 1;Takım Lideri;9004;2023-12-12
1815;Tolga Aktaş;Montaj;Hat 2;Operatör;9005;2024-04-29
1816;Recep Ünal;Montaj;Hat 3;Takım Lideri;9006;2018-02-09
1817;Serkan Şimşek;Montaj;Hat 4;Montajcı;9007;2025-01-13
1818;Emre Işık;Boya;Hat 1;Boyacı;9008;2016-03-01
1819;Taner Büyük;Boya;Hat 2;Kabin Operatörü;9009;2021-03-27
1820;Fatma Aydın;Presleme;Hat 1;Operatör;9010;2017-12-11
1821;Halil Şahin;Presleme;Hat 2;Pres Operatörü;9011;2019-09-11
1822;Songül Şahin;Kalite;Hat 1;Denetçi;9012;2022-12-07
1823;Görkem Bozkurt;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2023-04-12
1824;Emine Yılmaz;Bakım;Hat 1;Mekanikçi;9014;2026-01-06
1825;Hasan Öztürk;Bakım;Hat 2;Bakımcı;9015;2025-05-11
1826;Cihan Yıldırım;Lojistik;Hat 1;Operatör;9016;2021-12-11
1827;Kübra Çakır;Lojistik;Hat 2;Sevkiyat;9017;2016-08-22
1828;Zeynep Özdemir;Depo;Hat 1;Forklift;9018;2025-05-04
1829;Ramazan Turan;Kaynak;Hat 1;Operatör;9001;2022-11-15
1830;Emre Ünal;Kaynak;Hat 2;Operatör;9002;2022-11-13
1831;Derya Özdemir;Kaynak;Hat 3;Robot Operatörü;9003;2025-08-14
1832;Cihan Tekin;Montaj;Hat 1;Operatör;9004;2015-08-18
1833;Ramazan Çakır;Montaj;Hat 2;Forklift;9005;2026-05-17
1834;Derya Karataş;Montaj;Hat 3;Takım Lideri;9006;2018-03-26
1835;Nazlı Tosun;Montaj;Hat 4;Operatör;9007;2017-01-12
1836;Cihan Kılıç;Boya;Hat 1;Operatör;9008;2015-04-28
1837;Kemal Aslan;Boya;Hat 2;Operatör;9009;2017-05-23
1838;Hasan Yıldırım;Presleme;Hat 1;Pres Operatörü;9010;2019-11-08
1839;Bülent Balcı;Presleme;Hat 2;Pres Operatörü;9011;2024-10-22
1840;Halil Toprak;Kalite;Hat 1;Kalite Kontrol;9012;2015-03-08
1841;Turgay Özkan;Kalite;Hat 2;Kalite Kontrol;9013;2026-01-30
1842;Görkem Sarı;Bakım;Hat 1;Bakımcı;9014;2018-10-05
1843;Görkem Erdoğan;Bakım;Hat 2;Mekanikçi;9015;2024-08-09
1844;Nihal Koç;Lojistik;Hat 1;Sevkiyat;9016;2023-04-17
1845;Özlem Bozkurt;Lojistik;Hat 2;Forklift;9017;2025-04-27
1846;Sibel Tosun;Depo;Hat 1;Forklift;9018;2020-05-25
1847;Songül Kurt;Kaynak;Hat 1;Takım Lideri;9001;2015-07-26
1848;Osman Sezer;Kaynak;Hat 2;Takım Lideri;9002;2019-02-13
1849;Emine Yıldız;Kaynak;Hat 3;Takım Lideri;9003;2022-12-18
1850;Onur Turan;Montaj;Hat 1;Operatör;9004;2019-12-27
1851;Volkan Bal;Montaj;Hat 2;Forklift;9005;2019-06-05
1852;Hüseyin Avcı;Montaj;Hat 3;Takım Lideri;9006;2017-03-08
1853;Cem Ekinci;Montaj;Hat 4;Montajcı;9007;2026-02-23
1854;Kemal Balcı;Boya;Hat 1;Operatör;9008;2025-08-10
1855;Sevgi Öztürk;Boya;Hat 2;Operatör;9009;2023-06-11
1856;Levent Korkmaz;Presleme;Hat 1;Kalıpçı;9010;2021-04-08
1857;Bülent Kaya;Presleme;Hat 2;Kalıpçı;9011;2023-10-08
1858;Nurten Koç;Kalite;Hat 1;Kalite Kontrol;9012;2016-05-16
1859;Volkan Çelik;Kalite;Hat 2;Denetçi;9013;2018-07-19
1860;Kübra Bozkurt;Bakım;Hat 1;Mekanikçi;9014;2020-01-20
1861;Mehmet Acar;Bakım;Hat 2;Elektrikçi;9015;2015-12-10
1862;Ayşe Arslan;Lojistik;Hat 1;Operatör;9016;2023-09-17
1863;Ergün Doğan;Lojistik;Hat 2;Operatör;9017;2021-07-31
1864;Derya Turan;Depo;Hat 1;Forklift;9018;2016-12-25
1865;Hüseyin Bulut;Kaynak;Hat 1;Kaynakçı;9001;2018-04-28
1866;İbrahim Toprak;Kaynak;Hat 2;Kaynakçı;9002;2023-08-04
1867;Gamze Aksoy;Kaynak;Hat 3;Kaynakçı;9003;2017-10-22
1868;Barış Ateş;Montaj;Hat 1;Operatör;9004;2023-03-14
1869;Hasan Genç;Montaj;Hat 2;Operatör;9005;2017-12-31
1870;Serkan Güneş;Montaj;Hat 3;Montajcı;9006;2017-08-18
1871;Sultan Arslan;Montaj;Hat 4;Operatör;9007;2020-09-26
1872;Mehmet Uysal;Boya;Hat 1;Kabin Operatörü;9008;2025-10-19
1873;Ramazan Başaran;Boya;Hat 2;Operatör;9009;2017-07-22
1874;Derya Kurt;Presleme;Hat 1;Operatör;9010;2018-05-22
1875;Derya Ekinci;Presleme;Hat 2;Pres Operatörü;9011;2017-03-06
1876;Fatma Kaya;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2018-12-12
1877;Yavuz Tosun;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2024-08-13
1878;Aslı Taş;Bakım;Hat 1;Bakımcı;9014;2024-06-16
1879;İbrahim Şener;Bakım;Hat 2;Mekanikçi;9015;2020-05-06
1880;Nazlı Korkmaz;Lojistik;Hat 1;Operatör;9016;2022-11-19
1881;Sibel Kara;Lojistik;Hat 2;Operatör;9017;2015-09-29
1882;Ali Uysal;Depo;Hat 1;Sayım Görevlisi;9018;2017-01-18
1883;Murat Aksoy;Kaynak;Hat 1;Operatör;9001;2015-04-18
1884;Havva Şimşek;Kaynak;Hat 2;Robot Operatörü;9002;2020-09-29
1885;Ayşe Güler;Kaynak;Hat 3;Robot Operatörü;9003;2023-06-15
1886;Özlem Bal;Montaj;Hat 1;Montajcı;9004;2022-12-07
1887;Salih Aksoy;Montaj;Hat 2;Operatör;9005;2019-07-01
1888;Salih Aslan;Montaj;Hat 3;Takım Lideri;9006;2019-01-12
1889;Emine Yıldırım;Montaj;Hat 4;Operatör;9007;2022-03-28
1890;Sinan Koç;Boya;Hat 1;Kabin Operatörü;9008;2018-10-21
1891;Tuğba Özdemir;Boya;Hat 2;Kabin Operatörü;9009;2020-05-03
1892;Hülya Çetin;Presleme;Hat 1;Pres Operatörü;9010;2019-09-15
1893;Taner Aksoy;Presleme;Hat 2;Operatör;9011;2018-01-26
1894;Melike Güneş;Kalite;Hat 1;Kalite Kontrol;9012;2018-08-02
1895;Nesrin Ekinci;Kalite;Hat 2;Denetçi;9013;2017-06-19
1896;Kadir Güler;Bakım;Hat 1;Mekanikçi;9014;2018-05-25
1897;Osman Kara;Bakım;Hat 2;Bakımcı;9015;2025-11-14
1898;Barış Çetin;Lojistik;Hat 1;Operatör;9016;2021-03-10
1899;Emre Arslan;Lojistik;Hat 2;Sevkiyat;9017;2018-02-18
1900;Merve Ekinci;Depo;Hat 1;Forklift;9018;2025-07-15
1901;Barış Yalçın;Kaynak;Hat 1;Kaynakçı;9001;2026-02-08
1902;Aygül Aydın;Kaynak;Hat 2;Operatör;9002;2026-07-28
1903;Ramazan Yavuz;Kaynak;Hat 3;Kaynakçı;9003;2017-07-29
1904;İbrahim Şimşek;Montaj;Hat 1;Operatör;9004;2019-04-17
1905;Gökhan Karaca;Montaj;Hat 2;Operatör;9005;2025-05-21
1906;Yavuz Coşkun;Montaj;Hat 3;Forklift;9006;2025-04-24
1907;Mehmet Gündoğdu;Montaj;Hat 4;Forklift;9007;2015-09-12
1908;Ferhat Kılıç;Boya;Hat 1;Boyacı;9008;2024-10-09
1909;Kemal Başaran;Boya;Hat 2;Kabin Operatörü;9009;2023-08-18
1910;Uğur Yıldırım;Presleme;Hat 1;Kalıpçı;9010;2024-01-07
1911;Mehmet Turan;Presleme;Hat 2;Pres Operatörü;9011;2024-06-01
1912;Zeynep Genç;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2026-05-20
1913;Sultan Güler;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2019-01-16
1914;Nurten Kaya;Bakım;Hat 1;Elektrikçi;9014;2015-04-21
1915;Meryem Uysal;Bakım;Hat 2;Bakımcı;9015;2026-08-05
1916;Onur Acar;Lojistik;Hat 1;Sevkiyat;9016;2015-09-18
1917;Betül Karataş;Lojistik;Hat 2;Sevkiyat;9017;2017-11-21
1918;Merve Demir;Depo;Hat 1;Depocu;9018;2016-04-19
1919;Hüseyin Öztürk;Kaynak;Hat 1;Robot Operatörü;9001;2024-06-01
1920;Murat Büyük;Kaynak;Hat 2;Kaynakçı;9002;2015-05-26
1921;Yusuf Öztürk;Kaynak;Hat 3;Robot Operatörü;9003;2018-09-04
1922;Hüseyin Taş;Montaj;Hat 1;Operatör;9004;2017-01-18
1923;Görkem Sezer;Montaj;Hat 2;Takım Lideri;9005;2017-09-17
1924;Sultan Çakır;Montaj;Hat 3;Forklift;9006;2022-01-13
1925;Özlem Gündoğdu;Montaj;Hat 4;Takım Lideri;9007;2020-10-11
1926;İbrahim Polat;Boya;Hat 1;Kabin Operatörü;9008;2020-06-24
1927;Rabia Genç;Boya;Hat 2;Kabin Operatörü;9009;2026-07-08
1928;Meryem Şimşek;Presleme;Hat 1;Pres Operatörü;9010;2015-12-12
1929;Melike Tekin;Presleme;Hat 2;Kalıpçı;9011;2019-04-22
1930;Ergün Sezer;Kalite;Hat 1;Kalite Kontrol;9012;2019-11-14
1931;Ömer Ekinci;Kalite;Hat 2;Kalite Kontrol;9013;2019-08-31
1932;Betül Aksoy;Bakım;Hat 1;Bakımcı;9014;2017-12-11
1933;Turgay Uysal;Bakım;Hat 2;Elektrikçi;9015;2021-02-04
1934;Melike Erdoğan;Lojistik;Hat 1;Sevkiyat;9016;2026-07-09
1935;Sevgi Aslan;Lojistik;Hat 2;Forklift;9017;2021-11-06
1936;Yusuf Küçük;Depo;Hat 1;Sayım Görevlisi;9018;2023-10-21
1937;Derya Koç;Kaynak;Hat 1;Operatör;9001;2017-01-06
1938;Hatice Ateş;Kaynak;Hat 2;Operatör;9002;2021-01-18
1939;Barış Sarı;Kaynak;Hat 3;Takım Lideri;9003;2024-10-23
1940;Meryem Genç;Montaj;Hat 1;Montajcı;9004;2025-09-20
1941;Gökhan Bozkurt;Montaj;Hat 2;Takım Lideri;9005;2021-01-23
1942;Rabia Aslan;Montaj;Hat 3;Montajcı;9006;2025-06-09
1943;Kübra Öztürk;Montaj;Hat 4;Operatör;9007;2016-06-30
1944;Taner Özdemir;Boya;Hat 1;Boyacı;9008;2019-05-20
1945;Tolga Bal;Boya;Hat 2;Boyacı;9009;2020-03-02
1946;Elif Coşkun;Presleme;Hat 1;Pres Operatörü;9010;2024-03-24
1947;Kadir Sezer;Presleme;Hat 2;Operatör;9011;2026-07-20
1948;Zeynep Büyük;Kalite;Hat 1;Kalite Kontrol;9012;2017-01-28
1949;Emine Çakır;Kalite;Hat 2;Denetçi;9013;2025-08-12
1950;Şerife Avcı;Bakım;Hat 1;Elektrikçi;9014;2017-06-09
1951;Ramazan Güneş;Bakım;Hat 2;Bakımcı;9015;2018-03-16
1952;Levent Özdemir;Lojistik;Hat 1;Sevkiyat;9016;2024-04-21
1953;Şule Güneş;Lojistik;Hat 2;Operatör;9017;2025-11-02
1954;Zeynep Doğan;Depo;Hat 1;Forklift;9018;2023-06-10
1955;Melike Özdemir;Kaynak;Hat 1;Kaynakçı;9001;2020-10-05
1956;Cem Turan;Kaynak;Hat 2;Robot Operatörü;9002;2021-05-03
1957;Levent Taş;Kaynak;Hat 3;Kaynakçı;9003;2017-01-27
1958;Betül Karaca;Montaj;Hat 1;Operatör;9004;2024-12-08
1959;Nesrin Korkmaz;Montaj;Hat 2;Forklift;9005;2018-09-16
1960;Cem Kaya;Montaj;Hat 3;Forklift;9006;2015-05-18
1961;Bülent Gündoğdu;Montaj;Hat 4;Operatör;9007;2026-05-12
1962;Hüseyin Uysal;Boya;Hat 1;Kabin Operatörü;9008;2025-10-30
1963;Cem Aksoy;Boya;Hat 2;Kabin Operatörü;9009;2026-01-29
1964;Hülya Aslan;Presleme;Hat 1;Pres Operatörü;9010;2019-10-31
1965;Sibel Bozkurt;Presleme;Hat 2;Pres Operatörü;9011;2019-07-16
1966;Emre Bulut;Kalite;Hat 1;Kalite Kontrol;9012;2021-08-15
1967;Halil Kara;Kalite;Hat 2;Kalite Kontrol;9013;2022-12-15
1968;Meryem Arslan;Bakım;Hat 1;Bakımcı;9014;2023-05-01
1969;Özlem Özdemir;Bakım;Hat 2;Mekanikçi;9015;2020-01-22
1970;Büşra Bulut;Lojistik;Hat 1;Forklift;9016;2025-12-18
1971;Nihal Yıldız;Lojistik;Hat 2;Forklift;9017;2023-01-08
1972;Görkem Karataş;Depo;Hat 1;Sayım Görevlisi;9018;2018-12-23
1973;Osman Acar;Kaynak;Hat 1;Operatör;9001;2017-05-17
1974;Görkem Demir;Kaynak;Hat 2;Operatör;9002;2019-11-04
